mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-16T22:23:02Z,2023-02-16T21:53:00Z,-30.0,81.024,168.263,80.302,173.787,12.2,128.0
2023-02-16T22:23:58Z,2023-02-16T21:54:00Z,-30.0,78.815,152.754,81.938,151.15,328.4,348.8
2023-02-16T23:10:59Z,2023-02-16T22:41:00Z,-30.0,-81.663,-15.747,-81.635,-33.823,146.5,291.1
2023-02-18T01:44:02Z,2023-02-18T02:14:00Z,30.0,79.814,108.242,77.788,122.705,48.0,383.9
2023-02-18T02:31:57Z,2023-02-18T03:02:00Z,30.0,-80.719,-76.923,-79.778,-79.516,111.0,115.6
2023-02-18T02:32:59Z,2023-02-18T03:02:00Z,29.0,-78.114,-92.632,-79.778,-79.516,307.6,334.5
2023-02-18T03:20:02Z,2023-02-18T03:49:00Z,29.0,80.928,93.017,79.036,93.198,148.5,210.7
2023-02-18T03:21:02Z,2023-02-18T03:50:00Z,29.0,78.49,76.96,81.258,74.809,253.8,310.9
2023-02-18T04:08:00Z,2023-02-18T04:37:00Z,29.0,-81.542,-91.787,-80.775,-111.408,284.7,344.5
2023-02-18T04:09:02Z,2023-02-18T04:37:00Z,28.0,-79.311,-110.977,-80.775,-111.408,133.6,163.2
2023-02-18T04:56:00Z,2023-02-18T05:24:00Z,28.0,81.822,80.66,80.149,62.319,357.4,367.8
2023-02-18T04:57:00Z,2023-02-18T05:24:00Z,27.0,79.87,60.375,80.149,62.319,47.3,48.8
2023-02-18T05:45:00Z,2023-02-18T06:11:00Z,26.0,-80.566,-126.496,-79.526,-125.134,70.4,118.6
2023-02-18T06:32:58Z,2023-02-18T06:58:00Z,25.0,81.035,45.887,78.76,47.384,158.5,254.9
2023-02-18T06:33:58Z,2023-02-18T06:59:00Z,25.0,78.64,29.419,81.078,29.813,242.2,271.5
2023-02-18T07:20:58Z,2023-02-18T07:46:00Z,25.0,-81.596,-139.246,-80.565,-156.645,285.6,320.0
2023-02-18T07:22:00Z,2023-02-18T07:46:00Z,24.0,-79.399,-158.723,-80.565,-156.645,130.9,135.9
2023-02-18T08:09:02Z,2023-02-18T08:33:00Z,24.0,81.763,31.372,79.91,16.839,327.1,328.5
2023-02-18T08:10:02Z,2023-02-18T08:33:00Z,23.0,79.764,11.446,79.91,16.839,75.8,107.1
2023-02-18T08:57:56Z,2023-02-18T09:20:00Z,22.1,-80.688,-173.68,-79.267,-170.825,81.5,167.6
2023-02-18T08:58:58Z,2023-02-18T09:21:00Z,22.0,-78.073,170.711,-81.395,170.157,331.0,370.0
2023-02-18T09:46:00Z,2023-02-18T10:08:00Z,22.0,80.96,-3.164,80.886,-15.287,133.7,212.7
2023-02-18T09:47:00Z,2023-02-18T10:08:00Z,21.0,78.535,-19.339,80.886,-15.287,268.1,273.8
2023-02-18T10:34:00Z,2023-02-18T10:55:00Z,21.0,-81.517,171.325,-80.346,158.016,252.6,266.6
2023-02-18T10:35:02Z,2023-02-18T10:55:00Z,20.0,-79.269,152.274,-80.346,158.016,162.0,164.7
2023-02-18T11:22:00Z,2023-02-18T11:42:00Z,20.0,81.81,-16.132,79.663,-28.735,326.9,327.5
2023-02-18T11:23:00Z,2023-02-18T11:42:00Z,19.0,79.844,-36.323,79.663,-28.735,74.1,151.5
2023-02-18T12:10:58Z,2023-02-18T12:29:00Z,18.0,-80.627,137.49,-79.002,143.4,58.0,214.9
2023-02-18T12:12:01Z,2023-02-18T12:30:00Z,18.0,-77.942,121.904,-81.23,125.2,359.2,371.7
2023-02-18T12:58:58Z,2023-02-18T13:17:00Z,18.0,81.024,-50.772,80.684,-60.491,134.6,175.9
2023-02-18T12:59:58Z,2023-02-18T13:17:00Z,17.0,78.623,-67.187,80.684,-60.491,265.2,265.2
2023-02-18T13:46:58Z,2023-02-18T14:04:00Z,17.0,-81.57,123.821,-80.118,112.578,253.3,255.8
2023-02-18T13:48:00Z,2023-02-18T14:04:00Z,16.0,-79.354,104.494,-80.118,112.578,159.2,181.3
2023-02-18T14:35:02Z,2023-02-18T14:51:00Z,16.0,81.754,-65.318,79.41,-74.399,298.7,308.2
2023-02-18T14:36:02Z,2023-02-18T14:51:00Z,15.0,79.748,-85.182,79.41,-74.399,100.3,220.0
