mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-18T16:07:00Z,2023-02-18T16:26:00Z,19.0,78.323,-112.845,80.473,-105.798,279.0,279.0
2023-02-18T16:54:00Z,2023-02-18T17:13:00Z,19.0,-81.018,76.835,-79.883,67.046,216.0,220.1
2023-02-18T16:55:02Z,2023-02-18T17:13:00Z,18.0,-78.885,58.144,-79.883,67.046,195.1,213.4
2023-02-18T18:30:57Z,2023-02-18T18:48:00Z,17.0,-80.214,43.6,-80.863,34.976,32.1,173.4
2023-02-18T18:31:59Z,2023-02-18T18:48:00Z,16.0,-77.698,28.11,-80.863,34.976,377.5,379.4
2023-02-18T19:19:00Z,2023-02-18T19:35:00Z,16.0,80.588,-144.827,80.253,-151.203,104.0,123.8
2023-02-18T19:20:00Z,2023-02-18T19:35:00Z,15.0,78.288,-161.275,80.253,-151.203,294.8,301.6
2023-02-18T20:07:00Z,2023-02-18T20:22:00Z,15.0,-81.004,28.369,-79.642,21.423,199.1,199.5
2023-02-18T20:08:02Z,2023-02-18T20:22:00Z,14.0,-78.859,9.742,-79.642,21.423,210.1,257.2
2023-02-18T20:54:58Z,2023-02-18T21:09:00Z,14.0,81.398,-157.211,78.887,-165.975,308.0,324.8
2023-02-18T20:55:58Z,2023-02-18T21:10:00Z,14.0,79.611,-177.549,81.162,176.081,87.5,209.1
2023-02-18T21:43:59Z,2023-02-18T21:57:00Z,13.0,-80.121,-5.51,-80.665,-10.287,1.9,107.4
2023-02-18T22:31:58Z,2023-02-18T22:44:00Z,12.0,80.634,167.421,80.025,163.298,101.5,102.6
2023-02-18T22:32:58Z,2023-02-18T22:44:00Z,11.0,78.353,150.794,80.025,163.298,295.1,319.6
2023-02-18T23:20:02Z,2023-02-18T23:31:00Z,11.0,-80.949,-20.708,-79.396,-24.299,171.6,185.7
